,id,cab_type_id,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,pickup_nyct2010_gid,dropoff_nyct2010_gid,pickup_location_id,dropoff_location_id,pickup,dropoff
0,698850,2,2,2015-01-05 18:58:23,2015-01-05 19:12:39,N,1,-73.9495849609375,40.680381774902344,-73.97103118896484,40.68490219116211,1,1.94,9.0,1.0,0.5,0.0,0.0,,0.3,10.8,2,1,138,1797,61,97,0101000020E610000000000000C67C52C0000000C016574440,0101000020E610000000000060257E52C0000000E0AA574440
0,723833,2,2,2015-01-05 22:11:05,2015-01-05 22:18:20,N,1,-73.97879028320312,40.68391799926758,-73.99942779541016,40.68600845336914,1,1.42,7.0,0.5,0.5,1.5,0.0,,0.3,9.8,1,1,1466,874,25,52,0101000020E610000000000080A47E52C0000000A08A574440,0101000020E6100000000000A0F67F52C000000020CF574440
0,769054,2,1,2015-01-05 19:10:48,2015-01-05 19:22:04,N,1,-73.99333190917969,40.69209671020508,-73.97686767578125,40.68376541137695,2,1.1,8.5,1.0,0.5,2.05,0.0,,0.3,12.35,1,1,2148,1831,33,181,0101000020E6100000000000C0927F52C0000000A096584440,0101000020E610000000000000857E52C0000000A085574440
0,804568,2,1,2015-01-05 18:57:28,2015-01-05 19:05:48,N,1,-73.97637176513672,40.66923522949219,-73.97799682617188,40.68190383911133,1,1.2,7.0,1.0,0.5,0.0,0.0,,0.3,8.8,2,1,93,1831,181,181,0101000020E6100000000000E07C7E52C000000080A9554440,0101000020E610000000000080977E52C0000000A048574440
0,879129,2,2,2015-01-05 18:57:19,2015-01-05 19:06:29,N,1,-73.98722076416016,40.693546295166016,-73.97608947753906,40.684207916259766,1,1.09,7.5,1.0,0.5,0.0,0.0,,0.3,9.3,2,1,917,1796,65,97,0101000020E6100000000000A02E7F52C000000020C6584440,0101000020E610000000000040787E52C00000002094574440
0,936812,2,2,2015-01-05 18:46:42,2015-01-05 19:01:46,N,1,-73.99039459228516,40.703006744384766,-73.97689056396484,40.68378829956055,1,2.15,11.5,1.0,0.5,0.0,0.0,,0.3,13.3,2,1,2040,1831,66,181,0101000020E6100000000000A0627F52C000000020FC594440,0101000020E610000000000060857E52C00000006086574440
0,987405,2,2,2015-01-05 19:23:57,2015-01-05 19:29:18,N,1,-73.9879379272461,40.66721725463867,-73.97852325439453,40.67936325073242,1,0.99,6.0,1.0,0.5,1.4,0.0,,0.3,9.2,1,1,90,1831,181,181,0101000020E6100000000000603A7F52C00000006067554440,0101000020E610000000000020A07E52C000000060F5564440
0,1204945,2,2,2015-01-05 22:10:59,2015-01-05 22:18:09,N,1,-73.97769165039062,40.68044662475586,-73.99551391601562,40.68304443359375,1,1.34,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2,1,1832,1339,181,40,0101000020E610000000000080927E52C0000000E018574440,0101000020E610000000000080B67F52C0000000006E574440
0,1328063,2,2,2015-01-05 21:53:50,2015-01-05 21:56:26,N,1,-73.98121643066406,40.6892204284668,-73.97846984863281,40.6843147277832,1,0.39,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1,1461,1466,97,25,0101000020E610000000000040CC7E52C00000006038584440,0101000020E6100000000000409F7E52C0000000A097574440
0,19293375,1,1,2015-01-05 18:51:09,2015-01-05 19:26:50,N,1,-73.98259735107422,40.76953887939453,-73.97772216796875,40.684326171875,2,8.1,30.0,1.0,0.5,6.35,0.0,,0.3,38.15,1,,1346,1831,142,181,0101000020E6100000000000E0E27E52C00000004080624440,0101000020E610000000000000937E52C00000000098574440
