,Start1,Start2,End1,End2,W/L
0,2015-04-06 12:35:00,2015-04-06 13:05:00,2015-04-06 16:04:00,2015-04-06 16:34:00,L
1,2015-04-08 18:35:00,2015-04-08 19:05:00,2015-04-08 22:01:00,2015-04-08 22:31:00,W
2,2015-04-09 18:35:00,2015-04-09 19:05:00,2015-04-09 21:57:00,2015-04-09 22:27:00,L
3,2015-04-10 18:35:00,2015-04-10 19:05:00,2015-04-10 1:54:00,2015-04-10 2:24:00,L
4,2015-04-11 12:35:00,2015-04-11 13:05:00,2015-04-11 16:18:00,2015-04-11 16:48:00,L
5,2015-04-12 19:35:00,2015-04-12 20:05:00,2015-04-12 23:29:00,2015-04-12 23:59:00,W
6,2015-04-24 18:35:00,2015-04-24 19:05:00,2015-04-24 21:38:00,2015-04-24 22:08:00,W
7,2015-04-25 15:35:00,2015-04-25 16:05:00,2015-04-25 18:50:00,2015-04-25 19:20:00,L
8,2015-04-26 19:35:00,2015-04-26 20:05:00,2015-04-26 22:50:00,2015-04-26 23:20:00,W
9,2015-04-27 18:35:00,2015-04-27 19:05:00,2015-04-27 22:04:00,2015-04-27 22:34:00,W
10,2015-04-28 18:35:00,2015-04-28 19:05:00,2015-04-28 22:03:00,2015-04-28 22:33:00,W
11,2015-04-29 12:35:00,2015-04-29 13:05:00,2015-04-29 17:03:00,2015-04-29 17:33:00,L
12,2015-05-07 18:35:00,2015-05-07 19:05:00,2015-05-07 21:56:00,2015-05-07 22:26:00,W
13,2015-05-08 18:35:00,2015-05-08 19:05:00,2015-05-08 22:10:00,2015-05-08 22:40:00,W
14,2015-05-09 12:35:00,2015-05-09 13:05:00,2015-05-09 16:00:00,2015-05-09 16:30:00,L
15,2015-05-10 12:35:00,2015-05-10 13:05:00,2015-05-10 16:08:00,2015-05-10 16:38:00,W
16,2015-05-22 18:35:00,2015-05-22 19:05:00,2015-05-22 22:24:00,2015-05-22 22:54:00,L
17,2015-05-23 12:35:00,2015-05-23 13:05:00,2015-05-23 16:08:00,2015-05-23 16:38:00,L
18,2015-05-24 19:30:00,2015-05-24 20:00:00,2015-05-24 23:25:00,2015-05-24 23:55:00,L
19,2015-05-25 12:35:00,2015-05-25 13:05:00,2015-05-25 16:17:00,2015-05-25 16:47:00,W
20,2015-05-26 18:35:00,2015-05-26 19:05:00,2015-05-26 21:36:00,2015-05-26 22:06:00,W
21,2015-05-27 12:35:00,2015-05-27 13:05:00,2015-05-27 15:47:00,2015-05-27 16:17:00,W
22,2015-06-05 18:35:00,2015-06-05 19:05:00,2015-06-05 22:32:00,2015-06-05 23:02:00,W
23,2015-06-06 18:45:00,2015-06-06 19:15:00,2015-06-06 22:20:00,2015-06-06 22:50:00,W
24,2015-06-07 12:35:00,2015-06-07 13:05:00,2015-06-07 15:25:00,2015-06-07 15:55:00,W
25,2015-06-09 18:35:00,2015-06-09 19:05:00,2015-06-09 21:56:00,2015-06-09 22:26:00,W
26,2015-06-10 12:35:00,2015-06-10 13:05:00,2015-06-10 16:41:00,2015-06-10 17:11:00,L
27,2015-06-17 18:35:00,2015-06-17 19:05:00,2015-06-17 21:55:00,2015-06-17 22:25:00,W
28,2015-06-18 18:35:00,2015-06-18 19:05:00,2015-06-18 22:31:00,2015-06-18 23:01:00,W
29,2015-06-19 18:35:00,2015-06-19 19:05:00,2015-06-19 21:55:00,2015-06-19 22:25:00,W
30,2015-06-20 18:45:00,2015-06-20 19:15:00,2015-06-20 22:39:00,2015-06-20 23:09:00,W
31,2015-06-21 12:39:00,2015-06-21 13:09:00,2015-06-21 16:10:00,2015-06-21 16:40:00,L
32,2015-06-22 18:35:00,2015-06-22 19:05:00,2015-06-22 22:38:00,2015-06-22 23:08:00,L
33,2015-06-23 18:35:00,2015-06-23 19:05:00,2015-06-23 22:50:00,2015-06-23 23:20:00,L
34,2015-06-24 12:35:00,2015-06-24 13:05:00,2015-06-24 16:15:00,2015-06-24 16:45:00,W
35,2015-07-03 18:35:00,2015-07-03 19:05:00,2015-07-03 23:35:00,2015-07-04 0:05:00,W-wo
36,2015-07-04 12:35:00,2015-07-04 13:05:00,2015-07-04 15:47:00,2015-07-04 16:17:00,W-wo
37,2015-07-05 12:35:00,2015-07-05 13:05:00,2015-07-05 16:04:00,2015-07-05 16:34:00,L
38,2015-07-07 18:35:00,2015-07-07 19:05:00,2015-07-07 22:21:00,2015-07-07 22:51:00,L
39,2015-07-08 18:35:00,2015-07-08 19:05:00,2015-07-08 22:14:00,2015-07-08 22:44:00,W
40,2015-07-09 12:35:00,2015-07-09 13:05:00,2015-07-09 16:00:00,2015-07-09 16:30:00,W
